Effective config:
  preset=none difficulty=medium
  games=10000000 train=True
  placement_strategy=model
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (105,791 params)
Device: cpu
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: capstone_agent/models/capstone_model.pt
  Placement agent: strategy=model, 105,791 params
  Placement weights: capstone_agent/models/placement_model.pt
  Opponent: rl-capstone [frozen champion: main=capstone_agent/models/champion_main_play.pt, placement=capstone_agent/models/champion_placement.pt]
  Self-play ladder: enabled
  Champion history dir: capstone_agent/models/champion_history/selfplay_run1
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=10000 games
  Replay JSON save: disabled
  Benchmark CSV: capstone_agent/benchmarks/selfplay_10m_run1.csv
  Device: cpu

Game  156/10000000:       LOST  steps= 379  reward=-0.9  [wr300=50.6%(156); by_enemy: rl-capstone(champion)=50.6%(156)]
Game  157/10000000:        WON  steps= 441  reward=+1.3  [wr300=51.0%(157); by_enemy: rl-capstone(champion)=51.0%(157)]
  trained PPO on 4144 buffered transitions (games in batch: 13; trigger=steps: buffered transitions reached 4144)
Game  158/10000000:        WON  steps= 275  reward=+1.5  [wr300=51.3%(158); by_enemy: rl-capstone(champion)=51.3%(158)]
Game  159/10000000:        WON  steps= 180  reward=+1.5  [wr300=51.6%(159); by_enemy: rl-capstone(champion)=51.6%(159)]
Game  160/10000000:       LOST  steps= 273  reward=-1.1  [wr300=51.2%(160); by_enemy: rl-capstone(champion)=51.2%(160)]
Game  161/10000000:       LOST  steps= 330  reward=-1.2  [wr300=50.9%(161); by_enemy: rl-capstone(champion)=50.9%(161)]
Game  162/10000000:        WON  steps= 263  reward=+1.5  [wr300=51.2%(162); by_enemy: rl-capstone(champion)=51.2%(162)]
Game  163/10000000:       LOST  steps= 214  reward=-1.1  [wr300=50.9%(163); by_enemy: rl-capstone(champion)=50.9%(163)]
Game  164/10000000:       LOST  steps= 416  reward=-1.3  [wr300=50.6%(164); by_enemy: rl-capstone(champion)=50.6%(164)]
Game  165/10000000:       LOST  steps= 294  reward=-1.1  [wr300=50.3%(165); by_enemy: rl-capstone(champion)=50.3%(165)]
Game  166/10000000:        WON  steps= 184  reward=+1.5  [wr300=50.6%(166); by_enemy: rl-capstone(champion)=50.6%(166)]
Game  167/10000000:       LOST  steps= 206  reward=-1.1  [wr300=50.3%(167); by_enemy: rl-capstone(champion)=50.3%(167)]
Game  168/10000000:       LOST  steps= 196  reward=-0.9  [wr300=50.0%(168); by_enemy: rl-capstone(champion)=50.0%(168)]
Game  169/10000000:        WON  steps= 278  reward=+1.5  [wr300=50.3%(169); by_enemy: rl-capstone(champion)=50.3%(169)]
Game  170/10000000:        WON  steps= 594  reward=+1.1  [wr300=50.6%(170); by_enemy: rl-capstone(champion)=50.6%(170)]
Game  171/10000000:        WON  steps= 296  reward=+1.4  [wr300=50.9%(171); by_enemy: rl-capstone(champion)=50.9%(171)]
Game  172/10000000:        WON  steps= 326  reward=+1.4  [wr300=51.2%(172); by_enemy: rl-capstone(champion)=51.2%(172)]
Game  173/10000000:        WON  steps= 364  reward=+1.4  [wr300=51.4%(173); by_enemy: rl-capstone(champion)=51.4%(173)]
Game  174/10000000:        WON  steps= 222  reward=+1.5  [wr300=51.7%(174); by_enemy: rl-capstone(champion)=51.7%(174)]
Game  175/10000000:        WON  steps= 235  reward=+1.5  [wr300=52.0%(175); by_enemy: rl-capstone(champion)=52.0%(175)]
Game  176/10000000:        WON  steps= 384  reward=+1.4  [wr300=52.3%(176); by_enemy: rl-capstone(champion)=52.3%(176)]
Game  177/10000000:       LOST  steps= 185  reward=-1.1  [wr300=52.0%(177); by_enemy: rl-capstone(champion)=52.0%(177)]
Game  178/10000000:       LOST  steps= 368  reward=-1.2  [wr300=51.7%(178); by_enemy: rl-capstone(champion)=51.7%(178)]
